Gastos com pesquisa e desenvolvimento,Gastos com administracao,Gastos com marketing,Estado,Lucro
165349.2,136897.8,471784.1,,192261.83
,151377.59,443898.53,Rio Grande do Sul,191792.06
153441.51,101145.55,407934.54,Ceara,191050.39
144372.41,118671.85,383199.62,,182901.99
142107.34,91391.77,366168.42,Ceara,166187.94
131876.9,99814.71,362861.36,,156991.12
134615.46,147198.87,127716.82,Rio Grande do Sul,156122.51
130298.13,145530.06,323876.68,Ceara,155752.6
120542.52,148718.95,311613.29,Sao Paulo,152211.77
123334.88,108679.17,304981.62,Rio Grande do Sul,149759.96
101913.08,110594.11,229160.95,Ceara,146121.95
100671.96,91790.61,249744.55,Rio Grande do Sul,144259.4
93863.75,127320.38,249839.44,Ceara,141585.52
91992.39,135495.07,252664.93,Rio Grande do Sul,134307.35
119943.24,,256512.92,Ceara,132602.65
114523.61,122616.84,261776.23,Sao Paulo,129917.04
78013.11,121597.55,264346.06,Rio Grande do Sul,126992.93
94657.16,145077.58,282574.31,Sao Paulo,125370.37
,114175.79,294919.57,Ceara,124266.9
86419.7,153514.11,0,Sao Paulo,122776.86
76253.86,113867.3,298664.47,Rio Grande do Sul,118474.03
78389.47,153773.43,299737.29,Sao Paulo,111313.02
73994.56,122782.75,303319.26,Ceara,110352.25
67532.53,105751.03,304768.73,,108733.99
77044.01,,140574.81,Sao Paulo,108552.04
64664.71,139553.16,137962.62,Rio Grande do Sul,107404.34
75328.87,144135.98,134050.07,Ceara,105733.54
72107.6,127864.55,353183.81,Sao Paulo,105008.31
,182645.56,118148.2,Ceara,103282.38
65605.48,153032.06,107138.38,Sao Paulo,101004.64
61994.48,115641.28,91131.24,Ceara,99937.59
61136.38,152701.92,88218.23,Sao Paulo,97483.56
,129219.61,46085.25,,97427.84
55493.95,103057.49,214634.81,Ceara,96778.92
46426.07,157693.92,210797.67,Rio Grande do Sul,96712.8
46014.02,85047.44,205517.64,Sao Paulo,96479.51
28663.76,,201126.82,,90708.19
44069.95,51283.14,197029.42,Rio Grande do Sul,89949.14
20229.59,65947.93,185265.1,Sao Paulo,81229.06
38558.51,82982.09,174999.3,Rio Grande do Sul,81005.76
28754.33,118546.05,172795.67,Rio Grande do Sul,78239.91
27892.92,84710.77,164470.71,Ceara,77798.83
23640.93,,148001.11,Rio Grande do Sul,71498.49
15505.73,127382.3,35534.17,Sao Paulo,69758.98
22177.74,154806.14,28334.72,Rio Grande do Sul,65200.33
1000.23,124153.04,1903.93,,64926.08
1315.46,,297114.46,,49490.75
,135426.92,,Rio Grande do Sul,42559.73
542.05,51743.15,,Sao Paulo,35673.41
,116983.8,45173.06,Rio Grande do Sul,14681.4
